run,step,loss,accuracy,val_accuracy,step_time_ms,tensor_mem_mb,materialize_ms,inner_step_ms,commit_ms,overhead_ms,cpu_mem_mb,gpu_mem_mb,gpu_peak_mb,compression_active
baseline,1,0.7593123912811279,0.4375,,42.393999989144504,84.99853515625,0,0,0,0,1218.96484375,188.03564453125,232.67333984375,False
baseline,2,0.7157787680625916,0.5,,4.800800001248717,84.99853515625,0,0,0,0,1219.4453125,188.03564453125,319.30908203125,False
baseline,3,0.8214235901832581,0.4791666666666667,,5.916399997659028,84.99853515625,0,0,0,0,1219.4453125,188.03564453125,319.30908203125,False
baseline,4,0.714113175868988,0.484375,,5.677199980709702,84.99853515625,0,0,0,0,1219.4453125,188.03564453125,319.30908203125,False
baseline,5,0.7079821825027466,0.4875,,6.28049997612834,84.99853515625,0,0,0,0,1219.4453125,188.03564453125,319.30908203125,False
baseline,6,0.6799410581588745,0.5104166666666666,,6.230500002857298,84.99853515625,0,0,0,0,1219.4453125,188.03564453125,319.30908203125,False
baseline,7,0.7214218378067017,0.5089285714285714,,6.950899958610535,84.99853515625,0,0,0,0,1219.4453125,188.03564453125,319.30908203125,False
baseline,8,0.7373933792114258,0.5078125,,7.205299974884838,84.99853515625,0,0,0,0,1219.4453125,188.03564453125,319.30908203125,False
baseline,9,0.6017178297042847,0.5277777777777778,,6.8863999913446605,84.99853515625,0,0,0,0,1219.4453125,188.03564453125,319.30908203125,False
baseline,10,0.6380524039268494,0.54375,,6.322500004898757,84.99853515625,0,0,0,0,1219.4453125,188.03564453125,319.30908203125,False
baseline,11,0.7247434258460999,0.5397727272727273,,6.385000015143305,84.99853515625,0,0,0,0,1219.4453125,188.03564453125,319.30908203125,False
baseline,12,0.7082290649414062,0.5416666666666666,,6.661500025074929,84.99853515625,0,0,0,0,1219.4453125,188.03564453125,319.30908203125,False
baseline,13,0.6567443013191223,0.5480769230769231,,7.058500021230429,84.99853515625,0,0,0,0,1219.4453125,188.03564453125,319.30908203125,False
baseline,14,0.7837472558021545,0.5401785714285714,,6.7069000215269625,84.99853515625,0,0,0,0,1219.4453125,188.03564453125,319.30908203125,False
baseline,15,0.7142710089683533,0.5375,,6.732199981343001,84.99853515625,0,0,0,0,1219.4453125,188.03564453125,319.30908203125,False
baseline,16,0.7159321308135986,0.53515625,,6.8799000000581145,84.99853515625,0,0,0,0,1219.4453125,188.03564453125,319.30908203125,False
baseline,17,0.6925989389419556,0.5367647058823529,,6.432899972423911,84.99853515625,0,0,0,0,1219.4453125,188.03564453125,319.30908203125,False
baseline,18,0.6856156587600708,0.5416666666666666,,7.7398999710567296,84.99853515625,0,0,0,0,1219.4453125,188.03564453125,319.30908203125,False
baseline,19,0.6674619913101196,0.5460526315789473,,7.173200021497905,84.99853515625,0,0,0,0,1219.4453125,188.03564453125,319.30908203125,False
baseline,20,0.7138160467147827,0.540625,,7.1897999732755125,84.99853515625,0,0,0,0,1219.4453125,188.03564453125,319.30908203125,False
baseline,21,0.6873905658721924,0.5416666666666666,,6.841299997176975,84.99853515625,0,0,0,0,1219.4453125,188.03564453125,319.30908203125,False
baseline,22,0.7641782164573669,0.53125,,6.661000021267682,84.99853515625,0,0,0,0,1219.4453125,188.03564453125,319.30908203125,False
